"X","gvkey","ticker","compname","year","sic4","salesmillions","employees","breach","breach_this_year","breachtype_this_year","bad_breach","internal_breach","rand_breach","breach_sum","bad_breach_sum","industry","industry_breach_sum","industry_bad_breach_sum","industry_translate","ag_frst_fsh","mining","construction","manuf","trn_comm_elc_gas","wholesale","retail","finance_insurance","services","mean_hits","max_hits","volume","price.open","price.high","price.low","price.close","price.adjusted","ret.adjusted.prices","ret.closing.prices","volume_pct","price.open_pct","price.high_pct","price.low_pct","price.close_pct","price.adjusted_pct","ret.adjusted.prices_pct","ret.closing.prices_pct","salesmillions_pct","employees_pct","mean_hits_pct","max_hits_pct"
21,99990010,"AACE","ACE CASH EXPRESS INC",2005,6099,132.53,1.728,0,0,"",0,0,0,0,0,9,0,0,"Functions related to depository banking",0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,99990010,"AACE","ACE CASH EXPRESS INC",2006,6099,132.53,1.728,0,0,"",0,0,0,0,0,9,0,0,"Functions related to depository banking",0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23,99990010,"AACE","ACE CASH EXPRESS INC",2007,6099,132.53,1.728,0,0,"",0,0,0,0,0,9,0,0,"Functions related to depository banking",0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
24,99990010,"AACE","ACE CASH EXPRESS INC",2008,6099,132.53,1.728,0,0,"",0,0,0,0,0,9,0,0,"Functions related to depository banking",0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
25,99990010,"AACE","ACE CASH EXPRESS INC",2009,6099,132.53,1.728,0,0,"",0,0,0,0,0,9,0,0,"Functions related to depository banking",0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
26,14638,"AAIIQ","ALABAMA AIRCRAFT INDUSTRIES",2005,3721,132.53,1.728,0,0,"",0,0,0,0,0,5,0,0,"Aircraft",0,0,0,1,0,0,0,0,0,0,0,529800,26.34,28.33,17.610001,26.370001,26.370001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,14638,"AAIIQ","ALABAMA AIRCRAFT INDUSTRIES",2006,3721,137.27,1.506,0,0,"",0,0,0,0,0,5,0,0,"Aircraft",0,0,0,1,0,0,0,0,0,0,0,596500,17.610001,21.469999,6.9,17.610001,17.610001,-0.332195664,-0.332195664,1.125896565,0.668564958,0.75785383,0.391822806,0.667804336,0.667804336,NA,NA,1.035765487,0.871527778,NA,NA
28,14638,"AAIIQ","ALABAMA AIRCRAFT INDUSTRIES",2007,3721,60.48,0.60799998,0,0,"",0,0,0,0,0,5,0,0,"Aircraft",0,0,0,1,0,0,0,0,0,0,0,1335800,7.79,11.6,1.77,7.79,7.79,-0.557637731,-0.557637731,2.239396479,0.442362269,0.5402888,0.256521739,0.442362269,0.442362269,"1.678642411","1.678642411",0.440591535,0.403718446,NA,NA
29,14638,"AAIIQ","ALABAMA AIRCRAFT INDUSTRIES",2008,3721,42.790001,0.61299998,0,0,"",0,0,0,0,0,5,1,0,"Aircraft",0,0,0,1,0,0,0,0,0,0,0,1489900,3,5.53,1.3,3.33,3.33,-0.572528883,-0.572528883,1.115361581,0.385109114,0.476724138,0.734463277,0.427471117,0.427471117,"1.02670399","1.02670399",0.70750663,1.008223684,NA,NA
30,14638,"AAIIQ","ALABAMA AIRCRAFT INDUSTRIES",2009,3721,50.720001,42.426998,0,0,"",0,0,0,0,0,5,0,0,"Aircraft",0,0,0,1,0,0,0,0,0,0,0,505200,1.69,9,1,1.69,1.69,-0.492492492,-0.492492492,0.33908316,0.563333333,1.627486438,0.769230769,0.507507508,0.507507508,"0.860205497","0.860205497",1.185323669,69.21207077,NA,NA
31,145977,"AAP","Advance Auto Parts, Inc.",2005,5531,3760.51,42.426998,0,0,"",0,0,0,0,0,8,0,0,"Auto and home supply stores",0,0,0,0,0,0,1,0,0,2,3,251754700,29.333334,47.293335,28.166666,29.033333,27.649187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,145977,"AAP","Advance Auto Parts, Inc.",2006,5531,3943.26,43.771999,0,0,"",0,0,0,0,0,8,0,0,"Auto and home supply stores",0,0,0,0,0,0,1,0,0,2.056603774,3,300901400,43.470001,44.610001,28.700001,43.52,41.445202,0.498966389,0.498966722,1.195216614,1.481931819,0.943261899,1.018934971,1.498966722,1.498966389,NA,NA,1.048597132,1.031701536,1.028301887,1
33,145977,"AAP","Advance Auto Parts, Inc.",2007,5531,4024.1499,44.064999,1,0,"",0,0,0,0,0,8,0,0,"Auto and home supply stores",0,0,0,0,0,0,1,0,0,2.25,4,310458200,35.709999,42.259998,30.309999,35.580002,34.108604,-0.177019236,-0.182444807,1.03176057,0.82148604,0.947321162,1.056097489,0.817555193,0.822980764,"-0.354771864","-0.36564524",1.020513458,1.006693777,1.094036697,1.333333333
34,145977,"AAP","Advance Auto Parts, Inc.",2008,5531,4112.8501,47.582001,0,1,"Hack",1,0,0,1,1,8,1,1,"Auto and home supply stores",0,0,0,0,0,0,1,0,0,1.980769231,4,391588100,37.91,44.610001,24.17,37.59,36.263355,0.063173239,0.056492352,1.261323102,1.061607423,1.055608214,0.797426618,1.056492352,1.063173239,"-0.356872172","-0.309640779",1.022041972,1.079813958,0.88034188,1
35,145977,"AAP","Advance Auto Parts, Inc.",2009,5531,4345.2402,49,0,0,"",0,0,0,1,1,8,0,0,"Auto and home supply stores",0,0,0,0,0,0,1,0,0,1.942307692,2,505279400,33.860001,47.060001,30.129999,34.139999,33.15773,-0.085640863,-0.091779755,1.290333899,0.893168056,1.05492042,1.246586636,0.908220245,0.914359137,"-1.355650962","-1.624640361",1.056503421,1.029801164,0.980582524,0.5
36,1690,"AAPL","Apple, Inc.",2005,3571,12283.25,16.82,0,0,"",0,0,0,0,0,5,0,0,"Electronic computers",0,0,0,1,0,0,0,0,0,1.692307692,4,45600245600,4.627143,10.711429,4.520714,4.520714,3.014426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1690,"AAPL","Apple, Inc.",2006,3571,16498.23,20.186001,0,0,"",0,0,0,0,0,5,0,0,"Electronic computers",0,0,0,1,0,0,0,0,0,2.849056604,6,53924741500,10.34,13.115714,7.238572,10.678572,7.120505,1.362142909,1.362142794,1.182553751,2.234640252,1.22445978,1.601201049,2.362142794,2.362142909,NA,NA,1.343148597,1.200118966,1.683533448,1.5
38,1690,"AAPL","Apple, Inc.",2007,3571,19941.311,23.700001,0,0,"",0,0,0,0,0,5,0,0,"Electronic computers",0,0,0,1,0,0,0,0,0,4.903846154,10,61748996400,12.327143,28.547142,11.895715,11.971429,7.982585,0.121070065,0.121070214,1.145095826,1.192180174,2.17656027,1.643378694,1.121070214,1.121070065,"0.088882058","0.088882175",1.208693963,1.174081038,1.721217524,1.666666667
39,1690,"AAPL","Apple, Inc.",2008,3571,25977.16,35.099998,0,0,"",0,0,0,0,0,5,1,0,"Electronic computers",0,0,0,1,0,0,0,0,0,4.442307692,9,71495301500,28.467142,27.847143,11.498571,27.834286,18.559986,1.325059614,1.325059607,1.157837466,2.309305733,0.975479192,0.966614533,2.325059607,2.325059614,"10.94456849","10.9445549",1.302680651,1.481012511,0.905882353,0.9
40,1690,"AAPL","Apple, Inc.",2009,3571,34444.02,36.799999,1,0,"",0,0,0,0,0,5,0,0,"Electronic computers",0,0,0,1,0,0,0,0,0,2.096153846,4,35725319000,12.268572,30.234285,11.171429,12.964286,8.644626,-0.534233162,-0.534233212,0.499687647,0.430973085,1.085723049,0.971549334,0.465766788,0.465766838,"-0.403176699","-0.403176739",1.325934783,1.04843308,0.471861472,0.444444444
